Vidéo de trafic à analyser,Méthode de suivi,Seuil de confiance de détection,Vidéo annotée (détections + ID),Résumé du suivi,timestamp
.gradio/flagged/Vidéo de trafic à analyser/b04fabd3b515ceb5307e/bon_trafic.mp4,Notre version (ByteTrack + réconciliation couleur/mouvement),0.1,.gradio/flagged/Vidéo annotée (détections + ID)/05d10f128a6f82ce640e/bon_trafic_corrige.mp4,"**Méthode utilisée** : Notre version (ByteTrack + réconciliation couleur/mouvement)

**Images traitées** : 312

**Identifiants uniques attribués** : 78

**Durée moyenne de suivi par identifiant** : 36.3 images

**IDs uniques avant réconciliation** : 93  ·  **corrections appliquées** : 15

_Un nombre élevé d'identifiants uniques par rapport au nombre réel de véhicules visibles suggère des changements d'identité (ID Switch)._",2026-08-09 10:50:25.176166
.gradio/flagged/Vidéo de trafic à analyser/7369bddfd23c244a9347/bon_trafic.mp4,Notre version (ByteTrack + réconciliation couleur/mouvement),0.1,.gradio/flagged/Vidéo annotée (détections + ID)/74ad11694cbc658bed0a/bon_trafic_corrige.mp4,"**Méthode utilisée** : Notre version (ByteTrack + réconciliation couleur/mouvement)

**Images traitées** : 312

**Identifiants uniques attribués** : 78

**Durée moyenne de suivi par identifiant** : 36.3 images

**IDs uniques avant réconciliation** : 93  ·  **corrections appliquées** : 15

_Un nombre élevé d'identifiants uniques par rapport au nombre réel de véhicules visibles suggère des changements d'identité (ID Switch)._",2026-08-09 10:50:31.099372
